en	kr
An Efficient Computational Method for Maximum Movable Region in Map Space of Unstructured Point Cloud	비조직 점군으로 구성된 맵 공간으로부터 효율적인 최대 이동가능 영역 계산 방법
Keywords was in Visually Impaired, Deep Learning, and Assistive Device order in domestic research. And it was in Visually Impaired, Deep learning, Artificial intelligence order in foreign research.	연구방법으로는 국내·외 연구 모두 개발연구가 89.7%를 차지했고, 키워드는 국내 연구에서는 Visually impaired, Deep learning, Assistive device 순이였으며 국외 연구에서는 Visually impaired, Deep learning, Artificial intelligence 순으로 단어 빈도순에서 차이를 보였다.
North Korea Fake News: Type, Distribution, and Counterplan	북한 관련 가짜뉴스: 유형, 유통과 대응 방안
Analysis of Research Trend on Machine Learning Based Malware Mutant Identification	기계 학습을 활용한 변종 악성코드 식별 연구 동향 분석
A 3D Vision Inspection Method using One Camera	1대의 카메라를 이용한 3차원 비전 검사 방법
Optimum Handling of Irragularly Filled up Work-piece used ROBOT Tool Coordinate Compensated by Vision Sensor	비젼센서로 로보트 툴 좌표계 조정을 이용한 불규칙 적제품을 최적 핸들링
Given weighted graphs to be embedded, the proposed technique first extracts node-weight sequences that exist inside the graphs, and then encodes each node-weight sequence into a fixed-length vector using an LSTM(Long Short-Term Memory) autoencoder.	제안 기법은 가중 그래프가 주어지면 먼저 해당 그래프의 내부에 존재하는 노드-가중치 시퀀스들을 추출한 다음 LSTM 오토인코더를 사용해 각 시퀀스들을 고정된 길이의 벡터로 인코딩한다.
Kernel function and cosine measures are applied to calculate structural similarity and word similarity.	문장구조 유사도와 단어 유사도의 계산 방법으로는 각각 커널과 코사인 유사도를 적용하였다. 
In addition, information that is continuously generated by the solar power plant is built on the server as big data, and a deep learning model for predicting power generation is trained and updated.	또한, 서버에 태양광 발전소에서 지속해서 생성되는 정보를 빅데이터로 구축하였으며, 발전량 예측을 위한 딥러닝 모델을 학습하여 갱신하였다.
Therefore, in addition to the rainfall observed in the study area, the observed rainfall in anotherurban basin was applied in the predictive model.	이에 본 연구에서는 대상 유역에서 관측되는 강우 외에 전국 단위의 실제 호우를 예측 모형에 반영하였다.
Automatic water level measurement facilities have been introduced to determine the real-time reservoir storage capacity and agricultural water supply.	실시간으로 저수지 저수량과 농업용수 공급량을 파악하기 위해 자동 수위계측시설이 도입되었다.
Improvement of BigCloneBench Using Tree-Based Convolutional Neural Network	트리 기반 컨볼루션 신경망을 이용한 BigCloneBench 개선
Electromyography Pattern Recognition and Classification using Circular Structure Algorithm	원형 구조 알고리즘을 이용한 근전도 패턴 인식 및 분류
Among them, Deep learning greatly improved the possibility of artificial intelligence.	그 중에서도 딥러닝은 인공 지능의 가능성을 크게 향상 시켰다.
The Study on the Prediction of Insolvency of Korean Sports Industry Using Machine Learning	머신러닝을 이용한 한국 스포츠산업 기업의 부실 예측에 관한 연구
The forecasting process would take at least about 3~4 hours to provide the 4 hours advanced forecasting information.	예보시간은 4시간이고 예보과정에는 약 3~4시간이 소요된다.
Analysis of muscle coordination patterns of roundhouse kick in Taekwondo using machine learning algorithm	기계학습 알고리즘을 이용한 태권도 돌려차기의 근육 협응 패턴 분석
Inaudible Acoustic Signal Based Multi-Point Gesture Recognition using CNN	비가청 음향 신호 기반의 CNN 을 활용한 멀티 포인트 제스처 인식
Analysis of image of tourists visiting Seoul using CNN Deep Learning	CNN 딥러닝을 이용한 서울방문 관광객의 서울 이미지 분석
The experimental results using meteorological data and power generation data show that proposed method is outperforms than MLR and MLP.	기상 데이터와 발전량 데이터를 이용하여 실험한 결과, LSTM을 이용하여 예측하였을 때 MLR과 MLP보다 예측 성능이 더 우수한 것을 확인할 수 있었다.
In addition, high accuracy of the RNN-LSTM model was verified through the comparison between the estimated average road pavement condition and the actually measured road pavement condition of the target section over time.	또한, 대상구간의 시간경과별 평균 도로포장 상태 예측치와 실제 도로포장 상태 실측치의 비교를 통해 RNN-LSTM 모델의 높은 정확도를 검증하였다.
CNN-based Image Rotation Correction Algorithm to Improve Image Recognition Rate	이미지 인식률 개선을 위한 CNN 기반 이미지 회전 보정 알고리즘
Water Quality Prediction using Moment-Adaptive Learning Rate Neural Network Model	골프공 인식을 위한 OpenCV 기반 신경망 최적화 구조
Finally, we detected sequences of effect scenes of the entire movie using prediction score of the input window.	마지막으로 입력 창의 예측 점수를 사용하여 전체 영화의 효과 장면 시퀀스를 감지했다.
A method for creating the Scene closed-caption metadata based on RNN-LSTM	RNN-LSTM 기반 장면 자막 메타데이터 생성 방법
This paper compares classification and estimated performance of SVM(Support Vector Machine) and Fuzzy SVM model that are getting into the spotlight in time series analyses, neural net models and various fields.	본 논문에서는 시계열분석, 신경회로망, 그리고 다양한 분야에서 각광을 받고 있는 SVM(Support Vector Machine)과 Fuzzy SVM 모형의 분류 및 예측성능을 비교하였다.
Machine Learning Based Estimation of Chlorophyll-a Concentrations in the Nakdong River Using Satellite Imagery	머신 러닝 기반 위성 영상을 이용한 낙동강의 Chlorophyll-a 농도 추정
Implementation of Hardware Data Prefetching Technique Using Machine Learning Technique	머신러닝 기법을 적용한 하드웨어 데이터 프리페치 기법 구현
Accuracy Improvement Research for Lumpy Aircraft Spare Parts Demand Forecast Based On Machine Learning	머신러닝 기반 Lumpy 수요형태의 항공기 수리부속 수요예측 정확도 개선 연구
Classification of 3D Road Objects Using Machine Learning	머신러닝을 이용한 3차원 도로객체의 분류
The automatic modulation recognition of a radio signal is a major task of an intelligent receiver, with various civilian and military applications.	무선 신호의 자동 변조 인식은 지능형 수신기의 주요한 작업으로 다양한 민간 및 군대 응용분야가 있다.
Vision-based hand Gesture Detection and Tracking System	비전 기반의 손동작 검출 및 추적 시스템
Repayment Prediction of Borrowers in P2P Social Lending using C-LSTM Neural Networks	C-LSTM 신경망을 이용한 P2P 소셜대출 채무자 상환예측
Recently, stock price prediction using deep learning has basically used assistance index as a prediction factors.	최근 딥러닝을 이용한 주가예측은 기본적으로 보조지표를 예측요소로 사용하고 있다.
Third, we should research possible ethical standards.	셋째, 인공도덕행위자를 위한 도덕적 기준을 탐색하였다.
Survey and Prospect of Side-Channel Attack By Using Machine Learning and Deep Learning	머신러닝과 딥 러닝 기반의 부채널 공격 연구 동향 및 전망
The proposed channel estimation scheme uses CNN weights learned in various Doppler frequency environments and operates adaptively to the Doppler frequency which varies according to the speed and moving direction of the UE.	제안된 채널 추정 기법은 여러 도플러 주파수 환경에서 학습시킨 CNN 가중치를 사용하고 단말의 이동 방향이나 속도에 따라 변하는 도플러 주파수에 적응적으로 동작한다.
